LOCALITY,BHK,SQ. FT,CONDITION ,RENT
MEDAVAKKAM,1,450,0,9500
MEDAVAKKAM,2,920,1,30000
MEDAVAKKAM,2,1050,1,22000
MEDAVAKKAM,2,1100,1,40000
MEDAVAKKAM,2,920,1,22000
MEDAVAKKAM,2,1000,1,30000
MEDAVAKKAM,2,900,0,20000
MEDAVAKKAM,3,1200,0,28000
MEDAVAKKAM,3,1500,1,26000
MEDAVAKKAM,3,1400,1,38000
MEDAVAKKAM,3,1500,1,45000
MEDAVAKKAM,3,1500,1,50000
MEDAVAKKAM,3,1300,1,30000
SELAIYUR,0,350,0,6000
SELAIYUR,0,300,0,6000
SELAIYUR,0,300,0,7000
SELAIYUR,0,350,0,4000
SELAIYUR,0,450,0,6000
SELAIYUR,0,200,0,6500
SELAIYUR,1,500,0,8000
SELAIYUR,1,500,1,12000
SELAIYUR,1,650,0,12000
SELAIYUR,1,500,1,10000
SELAIYUR,1,550,1,15000
SELAIYUR,1,450,0,13000
SELAIYUR,2,900,1,20000
SELAIYUR,2,1000,1,22000
SELAIYUR,2,550,0,12000
SELAIYUR,2,950,1,18000
SELAIYUR,2,900,0,15000
SELAIYUR,2,1100,1,15000
SELAIYUR,3,1650,0,30000
SELAIYUR,3,1600,0,30000
SELAIYUR,3,2200,1,40000
SELAIYUR,3,2000,1,40000
SELAIYUR,3,1300,1,30000
SELAIYUR,3,1500,1,25000
POONAMALLEE,0,250,0,6000
POONAMALLEE,0,400,0,7500
POONAMALLEE,0,400,0,5700
POONAMALLEE,0,150,1,7000
POONAMALLEE,0,200,0,6000
POONAMALLEE,0,300,1,7000
POONAMALLEE,1,600,1,8000
POONAMALLEE,1,700,0,12000
POONAMALLEE,1,500,0,6000
POONAMALLEE,1,400,0,5500
POONAMALLEE,1,500,1,7000
POONAMALLEE,1,400,1,7000
POONAMALLEE,2,740,1,9000
POONAMALLEE,2,1200,1,20000
POONAMALLEE,2,640,0,10000
POONAMALLEE,2,1000,1,13000
POONAMALLEE,2,750,1,13000
POONAMALLEE,2,800,0,12000
POONAMALLEE,3,1400,1,25000
POONAMALLEE,3,1200,0,18000
POONAMALLEE,3,1500,1,20000
POONAMALLEE,3,1040,1,27000
POONAMALLEE,3,1450,1,25000
POONAMALLEE,3,1200,0,32000
THIRUVANMIYUR,0,250,1,7000
THIRUVANMIYUR,0,400,1,9000
THIRUVANMIYUR,0,200,0,8000
THIRUVANMIYUR,0,100,0,5000
THIRUVANMIYUR,0,200,0,5500
THIRUVANMIYUR,0,450,0,4500
THIRUVANMIYUR,1,700,1,15000
THIRUVANMIYUR,1,600,0,9000
THIRUVANMIYUR,1,450,0,9000
THIRUVANMIYUR,1,400,0,15000
THIRUVANMIYUR,1,200,0,12500
THIRUVANMIYUR,1,280,0,15500
THIRUVANMIYUR,2,1100,1,30000
THIRUVANMIYUR,2,1080,1,28000
THIRUVANMIYUR,2,600,1,15000
THIRUVANMIYUR,2,1100,1,35000
THIRUVANMIYUR,2,600,1,20000
THIRUVANMIYUR,2,1100,1,38000
THIRUVANMIYUR,3,1300,1,47000
THIRUVANMIYUR,3,1400,1,60000
THIRUVANMIYUR,3,1200,1,50000
THIRUVANMIYUR,3,1400,1,60000
THIRUVANMIYUR,3,2500,1,75000
THIRUVANMIYUR,3,1700,1,45000
EGMORE,0,100,1,6000
EGMORE,0,300,0,10000
EGMORE,0,200,1,8500
EGMORE,0,120,0,5000
EGMORE,0,200,0,7000
EGMORE,0,200,0,5000
EGMORE,1,450,0,13000
EGMORE,1,400,1,16000
EGMORE,1,250,0,12000
EGMORE,1,500,0,14000
EGMORE,1,600,1,11500
EGMORE,1,400,0,10500
EGMORE,2,600,0,20000
EGMORE,2,750,0,15000
EGMORE,2,450,1,15000
EGMORE,2,1500,0,20000
EGMORE,2,1200,0,23000
EGMORE,2,700,1,25000
EGMORE,3,1000,0,35000
EGMORE,3,980,1,23000
EGMORE,3,1700,1,60000
EGMORE,3,1200,1,35000
EGMORE,3,1400,0,45000
EGMORE,3,1500,1,50000
KARAPAKKAM,0,300,1,10000
KARAPAKKAM,0,300,0,6000
KARAPAKKAM,0,300,0,8000
KARAPAKKAM,0,450,0,15000
KARAPAKKAM,0,100,1,15000
KARAPAKKAM,0,300,0,5500
KARAPAKKAM,1,600,1,15000
KARAPAKKAM,1,750,1,25000
KARAPAKKAM,1,400,0,15000
KARAPAKKAM,1,500,1,12000
KARAPAKKAM,1,660,0,17000
KARAPAKKAM,1,400,1,12000
KARAPAKKAM,2,1000,1,25000
KARAPAKKAM,2,1000,1,36000
KARAPAKKAM,2,800,0,20000
KARAPAKKAM,2,720,1,42000
KARAPAKKAM,2,900,1,36000
KARAPAKKAM,2,1100,1,4000
KARAPAKKAM,3,1600,1,39000
KARAPAKKAM,3,2000,1,41000
KARAPAKKAM,3,1400,0,40000
KARAPAKKAM,3,1300,1,36000
KARAPAKKAM,3,1400,1,46000
KARAPAKKAM,3,1400,1,34000
PERUNGALATHUR,0,200,0,3500
PERUNGALATHUR,0,1170,1,4500
PERUNGALATHUR,0,200,0,7000
PERUNGALATHUR,0,150,0,4000
PERUNGALATHUR,0,250,0,600
PERUNGALATHUR,0,650,0,4000
PERUNGALATHUR,1,450,0,15000
PERUNGALATHUR,1,450,1,10000
PERUNGALATHUR,1,600,0,12000
PERUNGALATHUR,1,500,1,12500
PERUNGALATHUR,1,400,0,10000
PERUNGALATHUR,1,500,0,9000
PERUNGALATHUR,2,1000,1,25000
PERUNGALATHUR,2,1000,1,15000
PERUNGALATHUR,2,1200,1,30000
PERUNGALATHUR,2,1800,0,16000
PERUNGALATHUR,2,800,0,15000
PERUNGALATHUR,2,1000,0,15000
PERUNGALATHUR,3,1500,1,45000
PERUNGALATHUR,3,1800,1,45000
PERUNGALATHUR,3,1500,0,30000
PERUNGALATHUR,3,1800,1,45000
PERUNGALATHUR,3,1840,1,60000
PERUNGALATHUR,3,1500,1,40000
SIRUSERI,0,200,0,5000
SIRUSERI,0,300,0,8000
SIRUSERI,0,200,0,7000
SIRUSERI,0,350,0,5000
SIRUSERI,0,250,0,5000
SIRUSERI,0,300,1,6000
SIRUSERI,1,450,0,8500
SIRUSERI,1,650,1,15000
SIRUSERI,1,600,0,10000
SIRUSERI,1,650,1,15000
SIRUSERI,1,450,0,8500
SIRUSERI,1,250,0,9500
SIRUSERI,2,660,1,25000
SIRUSERI,2,750,1,25000
SIRUSERI,2,760,1,16000
SIRUSERI,2,920,0,15000
SIRUSERI,2,1000,0,20000
SIRUSERI,2,660,1,23000
SIRUSERI,3,1800,1,30000
SIRUSERI,3,1600,1,35000
SIRUSERI,3,1400,1,34000
SIRUSERI,3,1500,1,33000
SIRUSERI,3,1700,1,30000
SIRUSERI,3,1500,1,30000
